formula, good_instruction, is_taut, num_of_nodes, num_of_branches
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{2252}{55552255}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{2255}{55552222}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{2244}{55552222}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{2242}{55552244}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{2224}{55554422}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{2222}{55554444}{3333333333333333}}, False, 57, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{2544}{55225555}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{2545}{55225544}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{2554}{55224455}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{2555}{55224444}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{2522}{55225555}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{2525}{55225522}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{2552}{55222255}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{2555}{55222222}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{2544}{55222222}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{2542}{55222244}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{2524}{55224422}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{2522}{55224444}{3333333333333333}}, False, 46, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{5244}{22555555}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{5245}{22555544}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{5254}{22554455}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{5255}{22554444}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{5222}{22555555}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{5225}{22555522}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{5252}{22552255}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{5255}{22552222}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{5244}{22552222}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{5242}{22552244}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{5224}{22554422}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{5222}{22554444}{3333333333333333}}, False, 52, 9
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{5544}{22225555}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{5545}{22225544}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{5554}{22224455}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{42}{5555}{22224444}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{5522}{22225555}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{5525}{22225522}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{5552}{22222255}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{44}{5555}{22222222}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{5544}{22222222}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{5542}{22222244}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{5524}{22224422}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{45}{5522}{22224444}{3333333333333333}}, False, 41, 7
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{52}{4444}{22225555}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{52}{4445}{22225544}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{52}{4454}{22224455}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{52}{4455}{22224444}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{54}{4422}{22225555}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{54}{4425}{22225522}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{54}{4452}{22222255}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{54}{4455}{22222222}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{55}{4444}{22222222}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{55}{4442}{22222244}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{55}{4424}{22224422}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{55}{4422}{22224444}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{52}{4244}{22445555}{3333333333333333}}, False, 36, 6
((((p -> q) & r) & s) & p) v (t v ~p), {{1}{52}{4245}{22445544}{3333333333333333}}, False, 36, 6
